topic_count,perplexity,coherence
5,-8.366063272335264,0.4048557934690152
6,-8.34499368435729,0.4259280428430918
7,-8.394555725372834,0.4402780149581835
8,-8.447149750160117,0.4237392824391275
9,-8.518694727773788,0.42005907575693957
10,-8.567834105309405,0.42845705198893136
11,-8.600594292964322,0.41758198646844397
12,-8.556552260406754,0.42257407491133714
13,-8.583672389381812,0.4201563149308718
14,-8.599823140553989,0.4223944064911374
15,-8.615266111599205,0.4286246291365747
16,-8.67830127461361,0.45748133724387985
17,-8.669774998741593,0.4497432493295732
18,-8.752561617820042,0.4206683178295542
19,-8.77451162116835,0.4223843269627878
20,-8.795278100854727,0.44691705660464603
