topic,strength
0,0.078094274
1,0.0534023
2,0.08819103
3,0.1623779
4,0.11615002
5,0.07867715
6,0.07290441
7,0.04281094
8,0.050918113
9,0.058489606
10,0.13312791
11,0.064856365
